year_month,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,year
1990-01-01,46.03225806451613,27.700661290322582,18.52808064516129,22.378282000000002,28.943634612903224,20.762459451612905,24.268614967741936,11.379130734767026,9.65050103046595,1.935483914516129,1.935483914516129,6.935483870967742,10.069539374193548,31.134193225806452,164.66242012580645,15.618387096774194,3.3200750741935487,1.0,1990.0
1990-02-01,26.964285714285715,29.303714285714285,18.726928571428573,23.16658592857143,30.789080678571427,20.378177892857142,24.659036928571428,11.671933511904763,8.812549106150794,1.2107143232142856,1.2107143232142856,3.9285714285714284,10.732203717857143,30.805713821428572,201.81548419642857,17.351785714285715,3.872698846428571,2.0,1990.0
1990-03-01,36.25806451612903,30.1796935483871,19.529693548387094,23.86766351612903,31.913282354838707,22.033140580645163,25.90660712903226,12.055585394265233,9.82223473718638,2.361290446451613,2.361290446451613,5.516129032258065,11.77362570967742,34.80387041935484,211.82668386451613,18.901612903225807,4.214508793548387,3.0,1990.0
1990-04-01,46.86666666666667,32.56216666666667,21.455499999999997,26.082444133333336,35.3751076,24.936884233333334,29.155515466666667,12.459519777777778,11.182402083333333,3.3866666766666667,3.3866666766666667,6.333333333333333,11.7123752,34.319999233333334,270.91296822333334,21.502666666666666,4.8717683633333335,4.0,1990.0
1990-05-01,49.03225806451613,31.213564516129033,21.181306451612905,25.55597035483871,35.662830096774194,24.686811903225806,29.215764612903225,12.797250600358423,11.038782078853046,6.467742019354838,6.467742019354838,4.419354838709677,10.48366652580645,32.736773516129034,114.17190479354839,22.37741935483871,4.84287274516129,5.0,1990.0
1990-06-01,57.4,29.3971666,20.9605,24.527166,34.075407033333335,24.643633933333334,28.4853417,12.965603046296296,10.781359824074075,4.616666655,4.616666655,6.633333333333334,8.594300116666666,32.6399992,95.95987290666667,19.946666666666665,4.143740756666667,6.0,1990.0
1990-07-01,54.354838709677416,29.889370967741936,20.639370967741936,24.639572645161287,33.902948967741935,24.050357096774192,28.138165161290324,12.88569770609319,11.013709892473118,4.577419472258065,4.577419472258065,5.645161290322581,9.401589922580644,30.390966838709677,162.33283292580646,20.986451612903227,4.437345938709678,7.0,1990.0
1990-08-01,58.806451612903224,29.686145161290323,20.684532258064518,24.34017670967742,33.81877838709677,24.205616838709677,28.04521312903226,12.595711254480287,10.308531684587814,8.229032196774194,8.229032196774194,9.225806451612904,9.378761277419356,32.992257,187.16443314903228,19.72451612903226,4.1576149709677415,8.0,1990.0
1990-09-01,59.6,29.733833333333333,20.997166666666665,24.57737416666667,34.494205400000006,24.735839933333335,28.6559433,12.211383861111111,10.181138148148147,10.113333228333333,10.113333228333333,9.666666666666666,8.276987756666667,28.01999963333333,229.37673523666666,19.528333333333332,4.0725225866666666,9.0,1990.0
1990-10-01,56.87096774193548,27.399048387096773,19.963564516129033,22.92512306451613,31.072585612903225,23.258524161290325,26.302500612903227,11.810284632616488,9.566958521505377,5.62580640451613,5.62580640451613,10.32258064516129,9.46877481935484,29.11354777419355,315.38129429032256,16.37322580645161,3.3230604419354837,10.0,1990.0
1990-11-01,51.4,24.597166666666666,18.69383333333333,20.9283471,27.347064566666667,21.121033033333333,23.536702866666666,11.464436342592592,6.303625211111111,9.626666096666668,9.626666096666668,12.266666666666667,9.560541776666668,32.7959994,288.14413257,10.904,2.2110418766666666,11.0,1990.0
1990-12-01,42.193548387096776,25.284532258064516,17.613564483870967,20.632313870967742,27.387153258064515,19.501159048387095,22.70938493548387,11.288154202508961,7.69353427016129,3.6999999387096776,3.6999999387096776,7.645161290322581,9.182124006451613,30.39096709677419,199.16959779677418,12.896129032258063,2.585159789032258,12.0,1990.0
1991-01-01,30.612903225806452,28.095822580645162,18.818403225806453,22.707448612903228,30.246484064516128,21.08758151612903,24.90634270967742,11.377271998207886,9.56528284050179,2.690322669032258,2.690322669032258,5.419354838709677,8.518448893548387,26.442580096774194,176.12031577870965,16.58677419354839,3.451695222580645,1.0,1991.0
1991-02-01,30.75,28.401928571428574,17.253714285714285,21.903862285714286,29.463303607142855,18.931840714285716,23.219301642857143,11.669154990079365,9.77244197718254,0.9750000428571429,0.9750000428571429,3.75,11.091080239285715,33.004285214285716,263.091879,18.8975,4.0203511107142855,2.0,1991.0
1991-03-01,9.580645161290322,33.158725741935484,19.673241903225808,25.744881548387095,35.15462577419355,21.331037387096774,27.24047722580645,12.052251281362008,10.984802625448028,0.7548387580645161,0.7548387580645161,1.8709677419354838,11.818892951612902,34.01419251612903,181.9550013903226,24.463225806451614,5.57664464516129,3.0,1991.0
1991-04-01,15.6,35.04883333333333,22.453833333333332,28.1179295,37.714106099999995,25.837832233333334,30.90065136666667,12.456556444444443,11.591528694444444,0.4766666633333333,0.4766666633333333,1.4666666666666666,12.056609183333334,34.25999916666667,148.00786658,24.321,5.732399986666667,4.0,1991.0
1991-05-01,46.96774193548387,31.573241870967742,21.657112903225805,25.831306258064515,35.89353429032258,25.452244838709678,29.59632080645161,12.795002016129033,11.056990143369175,5.870967219354839,5.870967219354839,4.064516129032258,10.628986470967742,31.970322161290323,142.67998812580646,22.225483870967743,4.856324635483871,5.0,1991.0
