Date,Indonesia_temperature_2m_mean,Indonesia_daylight_duration,Indonesia_sunshine_duration,Indonesia_precipitation_sum,Indonesia_wind_speed_10m_max,Indonesia_wind_gusts_10m_max,Indonesia_et0_fao_evapotranspiration
03/1994,25.160104612903226,12.124924005376343,7.065903732974911,14.470967696774194,9.035407806451612,24.607741387096773,3.1250660903225804
03/1995,25.355668935483873,12.125675645161289,7.474223346774194,13.967742083870968,8.2578683,23.876128693548385,3.290745312903226
03/1996,25.690010322580644,12.123366012544803,9.608469453405018,8.558064532258065,8.816023567741935,23.063225419354836,3.8138040322580644
03/1997,25.409970548387097,12.124090752688172,9.334196406810035,8.309677387096775,8.981007583870968,23.179354048387093,3.6552694193548385
03/1998,26.25990322580645,12.124841137992833,9.177582697132616,11.81935487580645,7.480563529032258,21.3793545483871,3.6085347677419355
03/1999,25.745790161290323,12.125630035842294,8.366677199820789,10.138709666129033,8.425568483870968,24.665805612903224,3.7104270129032257
03/2000,25.88436470967742,12.123304623655915,9.037354758064517,6.654838670967742,8.81572780967742,24.689031806451613,3.8243902322580645
03/2001,25.94659587096774,12.12403079749104,9.058505775985664,8.206451812580646,8.847061306451613,25.42064487096774,3.8914979612903227
03/2002,25.563263387096775,12.124778100358423,9.398316299283154,12.37419332903226,7.645436787096774,21.72774141935484,3.708938522580645
03/2003,25.94323658064516,12.125536335125448,9.495853620071683,7.470967780645162,8.32999434516129,22.401289887096777,3.9429384451612903
03/2004,25.92226906451613,12.123203136200718,8.443914699820787,9.809677341935483,8.699450806451614,24.329031677419355,3.5711190387096776
03/2005,25.739405516129032,12.123912634408603,8.937651741039426,11.548387019354838,9.350956774193548,25.269677161290325,3.6418019322580646
03/2006,25.81870641935484,12.12466097670251,8.730470386693547,8.903225493548387,9.333537370967742,26.814193000000003,3.6749856999999997
03/2007,26.140077580645162,12.125428010752687,9.841131980286738,8.948387177419354,9.669780496774194,27.534193129032257,4.0109625451612905
03/2008,25.38826322580645,12.123065707885305,8.135820985663083,9.341935348387096,8.442665641935484,23.19096712903226,3.4868924935483867
03/2009,25.964136967741936,12.123794596774193,9.19099633512545,8.2354839,7.553922093548387,22.738064032258066,3.9053318322580646
03/2010,25.862590935483873,12.124567517921147,7.770774205053764,15.083870977419354,8.374067932258065,23.388386419354838,3.3861568838709677
03/2011,25.69881470967742,12.125333826164875,9.037406483870969,9.067741838709676,9.048734380645161,26.72128951612903,3.7894689161290325
03/2012,26.23349170967742,12.122985967741936,9.115353391577061,5.24193538516129,10.023168325806452,28.881289774193547,3.889563735483871
03/2013,26.056005258064516,12.123713440860216,9.510285988351255,9.409677367741935,8.794575822580645,23.307096258064515,3.8615208967741936
03/2014,25.93974180645161,12.124484775985662,9.838364784946236,8.37096761612903,8.200611422580645,22.947096322580645,3.8603515774193546
03/2015,25.674822709677418,12.125254838709678,9.115149336917563,9.812903212903226,8.929280419354837,24.08516093548387,3.6818873612903227
03/2016,26.30681129032258,12.122886666666666,8.927303525089606,12.290322622580645,9.569530125806452,24.95612837096774,3.586733861290323
03/2017,25.906713903225803,12.1236317562724,8.205391797491039,9.7838709,10.248243306451613,24.89806416129032,3.4986054
03/2018,25.338569258064513,12.124408951612903,6.632880716666667,14.374193929032257,10.137542387096776,23.887741564516126,3.1518814367741936
03/2019,26.194483225806454,12.125154372759857,8.609506487455196,8.50645164516129,11.21668590967742,26.198708806451613,3.7608925741935484
03/2020,26.295491516129033,12.122790528673834,8.85686263888889,11.012903541935485,9.512804596774194,23.423225161290322,3.666583135483871
03/2021,25.656378580645164,12.12354291218638,8.509070887096774,15.254838845161292,10.44098490967742,25.095483483870968,3.5870072645161293
03/2022,26.31182222580645,12.124327464157707,9.193414847670251,10.690322487096774,11.09932453548387,24.027096354838708,4.190317580645162
03/2023,25.295087741935486,12.12508221326165,8.434256899641577,13.129032225806451,11.56613920967742,25.94322541935484,3.7054995032258065
03/2024,26.403958129032258,12.122702580645162,9.038940062724015,11.138709877419354,11.948433080645161,28.997418903225807,3.927519190322581
04/1990,26.23130516666667,12.035547277777777,9.697711907407408,6.286666826666666,7.469805743333334,20.339999733333332,3.7666477300000003
04/1991,25.8719996,12.03618287037037,8.755303407407407,9.19999995,7.900549693333333,22.031999366666664,3.5238614433333333
04/1992,26.032208,12.03410374074074,9.325963111111111,9.249999966666667,7.714650059999999,20.3999996,3.689109553333333
04/1993,25.631930133333334,12.034793703703704,8.892054916666666,8.676666860000001,8.458749096666667,22.139999433333333,3.6077104666666666
04/1994,25.5710971,12.035471046296296,8.565147485185184,9.966666550000001,8.111091243333332,21.22799973333333,3.4405665166666664
04/1995,25.6184583,12.036092074074075,8.373915824074073,12.246666603333333,8.594586023333333,22.1879997,3.37701684
04/1996,25.646444433333333,12.034035546296296,9.140653944444443,7.9066668233333335,7.721006556666667,19.079999616666665,3.5003505366666667
04/1997,25.539499766666665,12.034727138888888,9.347170592592592,7.2733333333333325,7.893877403333334,21.587999866666667,3.5078363633333334
04/1998,26.585195300000002,12.035394499999999,10.041779157407408,8.710000276666667,7.489006576666667,19.271999783333335,3.7345996166666664
04/1999,26.618318833333333,12.036033675925927,10.273176833333334,3.5266667333333337,7.223327116666667,23.1599996,4.170019186666667
04/2000,25.7987361,12.033979777777777,8.679371253703703,8.046666406666667,7.406286796666667,21.071999633333334,3.713526213333333
04/2001,25.908596933333335,12.03466962962963,9.56174562037037,8.706666643333334,7.15231267,19.355999583333336,3.7929227366666667
04/2002,25.8306795,12.035318907407408,9.963304101851852,9.560000006666666,7.96829984,21.791999566666668,3.71914184
04/2003,25.93811056666667,12.035925129629629,9.411026342592594,9.69666691,8.34458585,21.023999633333332,3.688733323333333
04/2004,26.048805,12.033882787037037,9.994453703703703,7.400000006666667,8.07399929,21.31199953333333,3.73215708
04/2005,26.1660279,12.034564833333333,8.787524959259258,6.503333296666667,8.181761256666666,22.391999300000002,3.6563838966666666
04/2006,25.9358886,12.035203935185185,8.785035379629628,7.776666616666666,6.837574356666667,21.155999899999998,3.6811892600000005
04/2007,25.64324966666667,12.035828805555555,8.293092900925926,13.890000026666666,7.321323063333334,19.07999945,3.347315893333333
04/2008,25.70616653333333,12.033783537037037,9.128622777777776,8.993333536666666,7.811805616666667,20.39999943333333,3.662597566666667
04/2009,26.263527566666667,12.034464046296296,9.797374981481482,8.789999943333333,7.19257705,19.535999566666664,3.9125860033333333
04/2010,26.710331833333335,12.035104972222223,9.912334398148149,7.406666534666667,7.748840496666667,19.931999533333332,3.8439478716666664
04/2011,25.707208033333334,12.03573337037037,9.033784319444443,9.673333366666666,8.014445393333334,21.611999883333333,3.5744956366666667
04/2012,25.969777533333335,12.033722277777777,9.766790981481481,8.273333443333334,8.324149213333333,21.011999466666666,3.754068676666667
04/2013,26.221166266666668,12.034404842592592,9.059400212962963,11.069999973333333,7.644316933333333,21.83999933333333,3.5556928833333337
04/2014,26.0947777,12.03503724074074,9.170233941666668,8.853333473333333,8.13100589,22.00799953333333,3.640314336666667
04/2015,26.018805699999998,12.035683092592592,8.953337782407408,8.846666613333333,7.86986186,21.743999366666667,3.5980912166666665
04/2016,26.391860533333332,12.033663148148149,8.893921336111111,12.683333706666668,7.8770470900000005,19.571999466666668,3.5056057933333333
04/2017,26.1011517,12.034333611111112,8.024280483333333,13.103333596666666,10.14357987,24.359999266666666,3.5927928766666666
04/2018,25.796430133333335,12.034961972222222,8.68848725462963,7.450000309999999,8.310316113333334,22.583999283333334,3.3756114233333334
04/2019,26.4135129,12.035591555555555,8.37320498611111,9.050000296666667,9.210340996666668,22.715999266666664,3.5764598233333333
04/2020,26.2118466,12.03357024074074,8.419889616666667,14.786666873333333,8.793733846666667,21.143999666666666,3.51916312
04/2021,26.1584431,12.034224444444444,9.448787925925926,9.513333560000001,9.435111823333333,24.311999333333333,3.7838503533333334
04/2022,26.1731664,12.034846972222223,9.203119916666667,10.903333583333334,10.555078753333333,23.651999566666667,4.103586089999999
04/2023,26.01934633333333,12.03551149074074,8.842909314814815,11.730000246,10.47816361,22.63199953333333,3.90007864
04/2024,26.520526833333335,12.033493314814814,8.220736694444446,13.003333746666668,9.781358710000001,24.1679997,3.6521777933333337
05/1990,26.307215,11.964986989247313,9.630981433691757,5.732258212903226,7.96273479032258,22.38967680645161,3.583512019354839
05/1991,25.75345158064516,11.96544482078853,9.169599471326164,6.274193574193549,9.336084951612904,24.828386387096774,3.170972587096774
05/1992,26.067967967741932,11.964097491039427,9.427612884408601,5.951613030645161,7.521619441935484,20.49677377419355,3.4976191064516127
05/1993,25.649821741935483,11.964524086021505,9.121659354838709,8.145161551612903,9.106720900000001,22.319999499999998,3.279628635483871
05/1994,25.904458548387097,11.964953960573478,9.860185430107528,4.106451490322581,10.475015732258065,25.269677,3.4218278161290323
05/1995,26.11044029032258,11.965406102150538,9.019271472222222,5.758064467741936,8.940136912903226,22.517418967741936,3.3693790612903225
05/1996,26.304257774193548,11.964056586021506,10.428338163082438,2.874193596451613,8.712767806451613,21.832257548387098,3.7214896483870965
05/1997,26.028182387096773,11.964476505376345,10.057991326164874,6.045161264516129,7.369908777419355,19.53290293548387,3.654806406451613
05/1998,26.92152883870968,11.964902661290322,8.875436254480286,7.167741845161291,8.47824108064516,21.414193064516127,3.333607006451613
05/1999,25.50627483870968,11.965367078853046,8.756539112903226,6.293548474193549,8.500241258064516,20.798709258064516,3.2684850806451613
05/2000,26.345924451612902,11.964005833333333,10.43424734767025,4.209677311290323,7.456526816129032,19.76516080645161,3.859534919354839
05/2001,25.958491,11.964423207885305,9.797440672043011,5.7677418129032265,8.691777877419353,21.367741387096775,3.500022222580645
05/2002,26.342363,11.964855654121864,9.86168140860215,4.283870970645161,8.673175948387097,22.842580322580645,3.588245912903226
05/2003,26.514606483870967,11.965300277777779,9.505579136648745,4.135483848387097,8.428237003225806,21.867096451612905,3.6009378870967743
05/2004,26.217160967741936,11.96392438172043,9.917019892473117,5.235483927096774,7.347132722580645,20.067096387096772,3.660498764516129
05/2005,26.194848483870967,11.964333655913979,9.902864551971327,5.032258087096774,8.966308570967742,22.22709635483871,3.5657273709677417
05/2006,25.960373838709675,11.96476670250896,9.58676564516129,4.061290274193548,7.611947596774193,20.078709403225808,3.4825547129032257
05/2007,26.128047903225806,11.965226111111111,9.748416827956989,4.8225805677419356,9.290235406451613,23.713547774193547,3.5038045354838707
05/2008,26.351637451612902,11.963847912186381,10.248037096774192,2.3999999935483873,10.219444351612903,25.71096756451613,3.863604864516129
05/2009,26.486986032258063,11.964271039426524,10.107850609318996,4.561290380645162,7.628610964516129,19.17290285483871,3.811917470967742
05/2010,26.718235838709678,11.964725645161291,9.264747189964158,6.9451612741935485,8.217705177419354,21.93677379032258,3.493822983870968
05/2011,26.18322264516129,11.965183288530465,9.746206396953406,5.532258175806452,7.264878464516129,19.950967467741936,3.547350612903226
05/2012,26.134567548387096,11.963812616487456,9.704448960573476,5.629032238709677,8.32402755483871,20.93806422580645,3.6352248580645163
05/2013,26.176233387096772,11.964246460573476,8.509180483870969,6.28064515483871,7.812282293548387,20.65935458064516,3.2816084161290324
05/2014,26.241489387096774,11.964699811827957,9.49761958781362,6.28064524516129,8.979425719354838,22.470967322580645,3.470523119354839
05/2015,26.416220225806452,11.965156863799283,9.920445324372759,2.958064490322581,9.624828851612904,22.83096719354839,3.5794031516129032
05/2016,26.625695870967743,11.963770510752688,9.14693399283154,8.754838896774194,8.13282145483871,20.25290308064516,3.3819110741935487
05/2017,26.353555322580643,11.964200062724013,8.86602216845878,6.11935482,10.34632656451613,23.376773903225807,3.3818802
05/2018,25.902480612903226,11.964654946236559,9.256837302867384,6.190322464516129,10.561127132258063,26.140644709677417,3.291145829032258
05/2019,26.52385135483871,11.96508853046595,9.307678951612903,5.19999999967742,9.860424554838708,24.247741322580644,3.4635263677419355
05/2020,26.510544774193548,11.963696129032257,8.271829549283154,9.632258503225806,9.563576609677419,23.295483677419355,3.219678406451613
05/2021,26.297306129032258,11.964128835125448,9.282694220430107,7.867741970967741,9.403928367741935,21.94838648387097,3.4594479354838708
05/2022,26.404833258064517,11.964574498207885,9.227062302867385,8.051613103225806,10.989647551612903,22.343225258064518,3.7434934548387098
05/2023,26.502950774193547,11.965010143369176,8.87497465501792,7.925806669354839,9.849663638709677,21.692902467741938,3.6627318387096772
05/2024,26.76390580645161,11.963619973118279,8.931715806451614,10.645161380645161,10.64303194516129,26.094192870967742,3.560397422580645
06/1990,26.039292,11.931111833333334,9.695528421296297,3.4900000299999996,8.814303196666666,22.823999533333332,3.4858362633333333
06/1991,26.361513733333332,11.931198638888889,10.568636666666666,0.99333334,9.89806615,23.97599926666667,3.67085361
06/1992,26.112694266666665,11.930959481481482,10.067800953703705,3.1566665946666665,8.864021363333334,22.151999733333334,3.4802172099999997
06/1993,25.8293604,11.93104223148148,8.96715581111111,5.056666653333333,9.082624393333333,23.5079996,3.2853074666666666
06/1994,25.760888266666665,11.931137314814814,9.653153544166665,2.6066667433333333,10.753393476666668,25.29599933333333,3.3429380166666665
06/1995,26.187902599999997,11.931217074074075,9.781104444444445,4.483333373333334,10.062007343333333,25.7639994,3.360618356666667
06/1996,25.7508877,11.93097387962963,9.245573061111111,4.653333291333333,10.33914002,24.611999516666668,3.179902923333333
06/1997,27.2590827,11.931052972222224,11.049576416666667,0.42000000666666665,11.686589966666666,29.11199913333333,4.519732916666667
06/1998,26.563666666666666,11.93113725,9.686814537037037,3.7866667963333334,7.954128936666667,21.179999633333335,3.5150932266666666
06/1999,25.66311046666667,11.93120687962963,10.25081225,2.1466666733333333,9.140613106666667,22.511999566666663,3.6370442466666666
06/2000,25.1988054,11.93095825,8.742124212962961,5.433333276666667,8.409107106666665,21.57599935,3.0156300666666667
06/2001,25.632971899999998,11.931033916666667,9.641596722222223,3.5933332833333336,8.091634466666667,20.73599985,3.54637708
06/2002,26.181305599999998,11.93110999074074,10.14211985185185,2.556666685,9.534610176666666,24.167999333333334,3.4994242766666668
