Date,Negative_News,Total_News,Negative_News_Ratio
1990-01-27,194.91666666666663,1230.75,0.15837226623332654
1990-02-27,191.83333333333337,1204.5,0.15926387159263874
1990-03-27,188.75,1178.25,0.16019520475281138
1990-04-27,185.66666666666663,1152.0,0.16116898148148145
1990-05-27,182.58333333333337,1125.75,0.16218817084906362
1990-06-27,179.5,1099.5,0.16325602546612097
1990-07-27,176.41666666666666,1073.25,0.1643761161580868
1990-08-27,173.33333333333334,1047.0,0.16555237185609678
1990-09-27,170.25,1020.75,0.16678912564290962
1990-10-27,167.16666666666666,994.5,0.16809116809116809
1990-11-27,164.08333333333331,968.25,0.16946380927790686
1990-12-27,161.0,942.0,0.17091295116772823
1991-01-27,162.91666666666666,974.1666666666666,0.16723695466210436
1991-02-27,164.83333333333334,1006.3333333333334,0.16379595892679696
1991-03-27,166.75,1038.5,0.16056812710640347
1991-04-27,168.66666666666666,1070.6666666666667,0.15753424657534246
1991-05-27,170.58333333333334,1102.8333333333333,0.15467734622940912
1991-06-27,172.5,1135.0,0.15198237885462554
1991-07-27,174.41666666666666,1167.1666666666667,0.14943595601884904
1991-08-27,176.33333333333334,1199.3333333333333,0.14702612562534742
1991-09-27,178.25,1231.5,0.14474218432805522
1991-10-27,180.16666666666663,1263.6666666666663,0.14257451859667636
1991-11-27,182.08333333333337,1295.8333333333333,0.14051446945337626
1991-12-27,184.0,1328.0,0.13855421686746988
1992-01-27,183.08333333333337,1335.75,0.13706407137064075
1992-02-27,182.16666666666663,1343.5,0.1355911177273291
1992-03-27,181.25,1351.25,0.1341350601295097
1992-04-27,180.33333333333337,1359.0,0.1326956095168016
1992-05-27,179.41666666666666,1366.75,0.13127248338515943
1992-06-27,178.5,1374.5,0.1298654056020371
1992-07-27,177.58333333333334,1382.25,0.12847410622776875
1992-08-27,176.66666666666666,1390.0,0.12709832134292565
1992-09-27,175.75,1397.75,0.12573779288141657
1992-10-27,174.83333333333334,1405.5,0.12439226846910946
1992-11-27,173.91666666666666,1413.25,0.12306150126776343
1992-12-27,173.0,1421.0,0.12174524982406756
1993-01-27,188.08333333333337,1566.5833333333333,0.12005957763710838
1993-02-27,203.16666666666663,1712.1666666666667,0.11866056653363183
1993-03-27,218.25,1857.75,0.11748082357690755
1993-04-27,233.33333333333337,2003.3333333333337,0.11647254575707154
1993-05-27,248.41666666666669,2148.916666666667,0.11560088416644045
1993-06-27,263.5,2294.5,0.11483983438657659
1993-07-27,278.58333333333337,2440.0833333333335,0.11416959803285408
1993-08-27,293.6666666666667,2585.666666666667,0.11357483563233207
1993-09-27,308.75,2731.25,0.11304347826086956
1993-10-27,323.83333333333337,2876.8333333333335,0.11256590000579342
1993-11-27,338.9166666666667,3022.416666666667,0.11213432959276516
1993-12-27,354.0,3168.0,0.11174242424242424
1994-01-27,344.25,3144.6666666666665,0.10947106211575154
1994-02-27,334.5,3121.3333333333335,0.10716574113626655
1994-03-27,324.75,3098.0,0.10482569399612654
1994-04-27,315.0,3074.6666666666665,0.1024501300954033
1994-05-27,305.25,3051.3333333333335,0.10003823465151845
1994-06-27,295.5,3028.0,0.0975891677675033
1994-07-27,285.75,3004.6666666666665,0.09510206345684491
1994-08-27,276.0,2981.3333333333335,0.09257602862254025
1994-09-27,266.25,2958.0,0.09001014198782961
1994-10-27,256.5,2934.6666666666665,0.08740345297592005
1994-11-27,246.75,2911.3333333333335,0.08475498053583695
1994-12-27,237.0,2888.0,0.08206371191135733
1995-01-27,236.08333333333337,2845.8333333333335,0.0829575402635432
1995-02-27,235.16666666666663,2803.6666666666665,0.08387825466650814
1995-03-27,234.25,2761.5,0.08482708672822742
1995-04-27,233.33333333333337,2719.3333333333335,0.08580534444716843
1995-05-27,232.41666666666663,2677.1666666666665,0.08681441822822634
1995-06-27,231.5,2635.0,0.08785578747628084
1995-07-27,230.58333333333337,2592.8333333333335,0.0889310278331298
1995-08-27,229.66666666666663,2550.6666666666665,0.090041819132253
1995-09-27,228.75,2508.5,0.09118995415587004
1995-10-27,227.83333333333337,2466.3333333333335,0.09237734829030951
1995-11-27,226.91666666666663,2424.1666666666665,0.0936060501890684
1995-12-27,226.0,2382.0,0.0948782535684299
1996-01-27,247.91666666666663,2454.6666666666665,0.10099809885931559
1996-02-27,269.8333333333333,2527.3333333333335,0.10676602479556843
1996-03-27,291.75,2600.0,0.11221153846153846
1996-04-27,313.6666666666667,2672.6666666666665,0.11736093788974808
