Date,Brazil_temperature_2m_mean,Brazil_daylight_duration,Brazil_precipitation_sum,Brazil_wind_speed_10m_max,Brazil_et0_fao_evapotranspiration
01/1990,20.696488870967745,13.063158449820788,1.377419364516129,12.823705209677419,5.123564893548386
01/1991,19.830628806451614,13.065598853046595,11.270967881935483,12.681397522580646,3.332080506451613
01/1992,19.286609838709676,13.067804793906811,14.383870780645161,13.87029,2.464924092903226
01/1993,20.106166774193547,13.060452750896056,3.9032257790322578,12.01767077419355,4.635376012903226
01/1994,20.446421838709675,13.062724157706093,8.096774422580646,11.086594458064516,3.8116778225806454
01/1995,21.882442806451614,13.065133664874553,4.599999990322581,10.990940858064516,4.865842841935484
01/1996,20.94810170967742,13.06735899641577,2.6677419451612905,11.51706443548387,4.87778255483871
01/1997,20.31315590322581,13.060050663082437,6.983870987096774,11.891804180645162,3.8456427161290323
01/1998,21.76100509677419,13.062506353046595,6.219354732258065,11.293625138709677,4.40719039032258
01/1999,20.98849129032258,13.064991765232977,4.548387122580645,12.134245638709677,4.589926870967742
01/2000,20.298706838709677,13.067154336917563,8.945161258064516,12.838085677419356,3.828168035483871
01/2001,20.448303903225806,13.059908413978496,3.5129032838709677,12.156911845161291,4.695226248387097
01/2002,20.456502096774194,13.062383216845879,8.874193532258065,13.049031099999999,4.015850219354839
01/2003,20.85005106451613,13.064810170250896,9.374193612903227,12.529226032258064,3.556802429032258
01/2004,19.96066948387097,13.066983512544804,10.335484070967743,14.244358870967742,3.286046983870968
01/2005,20.908653161290324,13.05969819892473,7.580645241935484,12.53416235483871,3.882864741935484
01/2006,20.95583070967742,13.06216886200717,1.648387064516129,13.76914265483871,4.959871706451613
01/2007,20.90919093548387,13.064504453405018,8.538709683870968,11.339965767741935,3.6560125032258064
01/2008,20.536274032258067,13.066547482078853,6.245161296774194,13.175529267741934,4.054871329032258
01/2009,20.57048077419355,13.059345188172042,11.325806387096772,12.29399294516129,3.8513469322580645
01/2010,21.242120870967742,13.0618195609319,2.964516191612903,12.435168670967743,4.852927822580646
01/2011,20.30132774193548,13.064086102150538,3.8741935580645164,13.536258677419355,4.15174483548387
01/2012,19.747496967741935,13.06614744623656,6.23870969,12.803922758064516,3.888218677419355
01/2013,21.043935387096774,13.058938691756273,6.50645148516129,13.061322967741935,3.9253270032258065
01/2014,20.807241806451614,13.061429677419355,2.580645177419355,12.484670096774193,5.086332841935484
01/2015,22.884324806451612,13.063687517921148,0.8548387174193548,12.997078532258064,5.942702296774193
01/2016,20.760467580645162,13.065750421146953,13.81290290483871,13.085826664516128,3.1744923677419354
01/2017,21.768103548387096,13.058690788530464,2.6806452290322578,18.758876806451614,5.417038203225807
01/2018,20.90856090322581,13.061166675627241,4.329032191612903,17.125188064516127,4.803664622580645
01/2019,21.491222258064518,13.063394982078854,0.5096774258064516,17.51111380645161,5.623131987096774
01/2020,20.99787551612903,13.065569722222222,10.312903217419356,17.578519967741936,3.95531925483871
01/2021,20.17468958064516,13.058580224014337,3.1741935448387095,18.12813806451613,4.843317358064517
01/2022,19.85741841935484,13.061095134408603,7.325806748387096,17.27067970967742,4.076764519354838
01/2023,19.40809029032258,13.063293028673836,7.054838978709678,16.340205806451614,3.698266274193548
01/2024,20.711652354838712,13.065394444444445,10.245161422580644,13.78508870967742,3.6556990322580645
02/1990,20.905347928571427,12.681755188492064,4.935714132142857,13.34670230357143,4.317142850000001
02/1991,20.79574942857143,12.685343581349207,6.707142939285714,11.39360720357143,3.7489112714285713
02/1992,18.965146620689655,12.680822164750959,9.834483239655173,14.876739775862069,3.529330062758621
02/1993,20.207878,12.677260069444444,3.914285708571428,11.999145089285715,4.085502603571428
02/1994,21.49842875,12.681110357142858,2.2250000125,12.119865178571429,5.0180945178571426
02/1995,20.978562392857146,12.684651071428572,6.410714285714286,11.881711996428573,4.199118439285714
02/1996,21.636123448275864,12.680321417624521,3.427586072413793,11.88594695862069,4.877362679310345
02/1997,20.32885967857143,12.676826924603175,4.560714181428572,14.097754375,4.478071535714286
02/1998,22.178859714285714,12.680737678571429,5.092857160714286,11.52697325,4.637557396428571
02/1999,21.62208875,12.684404007936507,3.8857141285714287,12.43803452857143,4.856837653571428
02/2000,20.502646689655172,12.680071704980843,4.651724160344828,13.38088754137931,4.207718986206896
02/2001,21.93146425,12.676581279761905,2.875000003571429,11.683319178571427,5.222275671428571
02/2002,20.211225785714284,12.68033189484127,8.410714167857142,11.644875342857144,3.5023967035714283
02/2003,21.106091714285714,12.683873442460316,2.264285826785714,12.174834928571428,4.807060125
02/2004,19.702071275862068,12.679674942528736,9.41034472413793,11.63229326551724,3.280394162068965
02/2005,20.086598000000002,12.676093878968254,5.157142938928572,11.44197047857143,3.991283707142857
02/2006,22.320377714285716,12.679786507936509,4.657142821428572,11.993717192857144,4.714003125
02/2007,19.696419535714284,12.683378382936509,8.257142787142858,12.777599475,3.6099566249999997
02/2008,20.579083413793104,12.679119626436783,5.837931134482759,12.028289431034484,4.162641286206897
02/2009,21.016806642857144,12.675544970238095,5.264285832142858,11.32125237142857,4.4382027214285715
02/2010,22.264946892857143,12.679190218253968,3.3535713678571426,13.809162328571428,5.137277517857143
02/2011,21.396865714285717,12.68277568452381,3.5499999357142857,11.912754589285713,4.876692064285714
02/2012,20.465074793103447,12.678664655172415,1.4551724000000001,13.289122286206897,4.636912382758621
02/2013,21.131836285714286,12.67497816468254,2.792857132142857,13.074227267857143,4.833953496428571
02/2014,21.408993392857145,12.67863119047619,1.1071428214285715,14.953597642857144,5.1914514035714285
