Date,Coffee,close,vnd Exchange Rate,hnl Exchange Rate,cop Exchange Rate,brl Exchange Rate,Negative_News_Ratio,idr Exchange Rate,Sugar,Milk,Tea,Colombia_temperature_2m_mean_col,Honduras_wind_speed_10m_max_hon,Colombia_precipitation_sum_col,Colombia_wind_speed_10m_max_col,Honduras_et0_fao_evapotranspiration_hon,Honduras_temperature_2m_mean_hon,Colombia_et0_fao_evapotranspiration_col,Vietnam_temperature_2m_mean_vn,Vietnam_et0_fao_evapotranspiration_vn,Vietnam_wind_speed_10m_max_vn,Indonesia_temperature_2m_mean_in,Indonesia_et0_fao_evapotranspiration_in,Indonesia_precipitation_sum_in,Honduras_precipitation_sum_hon
01/1990,0.7582998657000001,79.99,5479.3295289855,2.0,440.08,6.19400124211965e-06,0.1583722662333265,1804.85,0.1420000076,0.07110006710977164,1.1472725127232812,17.148645064516128,10.069539374193548,20.690322341935484,5.882682180645161,3.3200750741935487,22.378282,2.884960329032258,21.28905151612903,4.1094797,21.89336022580645,25.25257725806452,3.412105964516129,6.86774175,1.935483914516129
02/1990,0.8401000976999999,93.79,5479.3295289855,2.0,451.72,1.02393812191569e-05,0.1592638715926387,1809.87,0.1465000153,0.07417634588795609,0.9583964279558382,17.43518717857143,10.732203717857145,15.782142857142857,5.7931587,3.872698846428571,23.16658592857143,2.824486939285714,22.93869475,4.699383907142858,19.57609712857143,25.43888982142857,3.518966125,8.982142882142856,1.2107143232142856
03/1990,0.9395999146,92.14,5479.3295289855,4.0,463.4,1.63152407482116e-05,0.1601952047528113,1820.35,0.1531000137,0.07718238702227999,0.8736199712422096,17.52687022580645,11.77362570967742,22.91935490967742,6.411697335483871,4.214508793548387,23.86766351612903,3.066009425806452,24.077492870967745,5.12764945483871,18.73599608064516,25.70600464516129,3.8142651290322585,9.561290403225808,2.361290446451613
04/1990,0.9373001099,93.73,5479.3295289855,4.0,474.62,2.07245664420534e-05,0.1611689814814814,1826.05,0.1524000168,0.07787436274914449,0.8836443359853399,17.548486033333333,11.7123752,41.19666711666666,5.977291853333333,4.8717683633333335,26.082444133333336,2.55926189,25.0459318,4.60302905,16.03917726,26.23130516666667,3.76664773,6.286666826666666,3.3866666766666667
05/1990,0.9201998901,94.05,5563.43086594202,4.2,485.99,2.26027167523167e-05,0.1621881708490635,1831.4,0.1461999893,0.08774241448697274,0.8483094787310286,17.45274458064516,10.48366652580645,46.10967719032258,5.84702605483871,4.84287274516129,25.55597035483871,2.534520196774193,24.48596096774193,4.032747283870967,13.179220929032258,26.307215,3.583512019354839,5.732258212903226,6.467742019354838
06/1990,0.8826000976999999,85.6,6052.74773550724,4.2,497.31,2.47152463731881e-05,0.1632560254661209,1841.0,0.1297000122,0.08502811091271287,0.8232257962823526,17.517167066666666,8.594300116666666,47.86000026666667,5.55843967,4.143740756666667,24.527166,2.6449798733333334,23.15655633333333,2.916087544,20.1748818,26.039292,3.4858362633333333,3.49000003,4.616666655
07/1990,0.8648001099,93.8,6371.31340579709,4.2,508.35,2.87854664027159e-05,0.1643761161580868,1846.96,0.12,0.08218495801311469,0.8608739524271758,16.96248874193548,9.401589922580644,42.22903319354838,5.807827441935483,4.437345938709678,24.639572645161287,2.973173770967742,23.30524825806452,3.4654273032258067,18.894082870967743,25.551569677419355,3.569393841935484,2.8096774580645163,4.577419472258065
08/1990,0.9442001343,102.85,6371.31340579709,4.2,519.94,3.10530948879187e-05,0.1655523718560967,1854.92,0.1093000031,0.09513505509632703,0.7917464374812893,17.09004277419355,9.378761277419356,49.39032164516129,6.4036672645161286,4.1576149709677415,24.34017670967742,3.088299948387097,22.907802322580647,3.024024283870968,20.56506964516129,25.80338458064516,3.8799565870967743,5.003225861290323,8.229032196774194
09/1990,0.9492001343,93.0,7900.42862318839,4.2,530.54,3.2690634236775e-05,0.1667891256429096,1860.35,0.1102000046,0.09765195235680728,0.8402808647295227,17.0374438,8.276987756666667,41.45333403333333,6.821886533333333,4.0725225866666666,24.57737416666667,3.2149171933333336,23.0659321,3.221849193333333,16.427022066666666,26.249084033333336,4.32408794,2.9166667166666667,10.113333228333332
10/1990,0.9141000366,90.5,7900.42862318839,5.5,540.46,4.11829894645649e-05,0.168091168091168,1865.85,0.0938999938999999,0.0927674701170222,0.9988115725158986,17.20294619354839,9.46877481935484,30.829031329032254,6.45323670967742,3.323060441935484,22.92512306451613,2.649694035483871,22.520301741935484,2.966255831612903,16.77617406451613,26.38066870967742,4.185497793548388,5.196774061290323,5.62580640451613
11/1990,0.8483999634,86.9,8091.56802536231,5.4,551.33,5.32862401275707e-05,0.1694638092779068,1860.48,0.1006000137,0.09789839200705802,1.03691341863904,17.492722233333332,9.560541776666668,32.36333368333333,5.890480793333333,2.211041876666666,20.9283471,2.4122568033333334,21.2251679,2.6848626033333334,18.97399591666667,26.045819066666663,3.914805023333333,6.606666663333333,9.626666096666668
12/1990,0.8989001464999999,88.65,8282.70742753622,5.3,563.38,6.68976368346475e-05,0.1709129511677282,1891.68,0.09740001678,0.09193807599397905,0.9976775902423094,16.996696193548388,9.182124006451613,24.80322494516129,5.539071519354839,2.585159789032258,20.632313870967742,2.595554083870968,20.074266548387097,2.744522690322581,23.19121322580645,24.96319612903225,3.0705368903225807,11.31290364032258,3.6999999387096776
01/1991,0.8632000732,83.0,8919.83876811593,5.3,574.09,8.36032212648539e-05,0.1672369546621043,1907.54,0.08799999237,0.0861804811449353,1.071341103682267,17.229626096774194,8.518448893548387,24.770968377419354,6.040817077419355,3.451695222580645,22.707448612903228,2.85933020967742,20.88300335483871,3.657475361290323,21.149651774193547,25.22509125806452,3.267642693548387,7.935483914193548,2.690322669032258
02/1991,0.8957000732,92.75,8919.83876811593,5.3,584.07,9.59656912909583e-05,0.1637959589267969,1914.0,0.08509998322,0.08702606136619778,0.9087734217234718,17.66353557142857,11.091080239285716,26.578572039285717,5.983253417857143,4.0203511107142855,21.90386228571429,3.1313872392857145,22.018158142857143,4.160294225,19.878446232142856,25.67690971428572,3.9719126357142858,9.032142939285714,0.9750000428571428
03/1991,0.9372000122,94.7,9047.26503623187,5.3,593.75,9.95700954232586e-05,0.1605681271064034,1927.12,0.0913999939,0.08631485596263887,0.8379675658390109,17.747367806451614,11.818892951612902,25.54838746451613,6.186702896774194,5.57664464516129,25.74488154838709,2.9574379806451616,24.247049903225808,5.44022534516129,17.84705683870968,25.55183812903226,3.440943819354839,12.819355161290323,0.7548387580645161
04/1991,0.9226998901,89.35,9174.69130434781,5.3,603.72,0.0001091296208503,0.1575342465753424,1934.61,0.08509998322,0.08083259590145844,0.8257205019459135,17.40897186666667,12.056609183333334,36.820000830000005,5.561098536666666,5.732399986666667,28.1179295,2.5350516566666665,25.1135007,4.99749442,17.09014546666667,25.8719996,3.5238614433333333,9.19999995,0.4766666633333333
05/1991,0.8758999634,86.7,9302.11757246375,5.3,613.76,0.0001181317597338,0.1546773462294091,1942.92,0.07588099957,0.09206255924606768,0.7869270128185357,17.678416548387098,10.628986470967742,34.38064514193548,5.497246038709678,4.856324635483871,25.831306258064515,2.338880139677419,25.630382387096777,4.90701549032258,12.95948387096774,25.75345158064516,3.170972587096774,6.274193574193549,5.870967219354839
06/1991,0.855,85.9,9556.97010869564,5.3,624.15,0.0001289090535879,0.1519823788546255,1950.96,0.09200000763,0.08993272581699774,0.7425769824278108,17.6478611,9.06665676,42.6066672,5.462530549999999,4.27522708,24.622859866666666,2.325311253333333,23.8922511,3.617470263333333,20.132499536666668,26.36151373333333,3.67085361,0.99333334,6.823333383333334
07/1991,0.8280825806,81.4,9684.39637681158,5.3,634.4,0.0001423421558415,0.149435956018849,1956.65,0.103219986,0.08722708057148856,0.6910311069481364,17.093672064516127,10.147740654838708,51.86451558064517,5.500710629032258,4.391204658064516,24.593940290322585,2.6301244483870967,23.45592,3.5713491451612907,19.02455255483871,27.174284387096776,4.1745378,0.7354838677419356,6.067741829032259
08/1991,0.8161880493,89.0,9964.73416666665,5.3,645.56,0.0001606735952753,0.1470261256253474,1961.35,0.09588298798,0.09051946988019531,0.7353761537135652,16.992731000000003,9.931177270967742,59.76451570967742,6.04465815483871,4.395525377419355,25.10953158064516,3.028803025806452,22.85995238709677,3.0219904580645163,21.118447112903223,28.68906929032258,5.336612164516129,0.1258064529032258,6.458064448387097
09/1991,0.8745098876999999,82.9,11723.2166666666,5.3,660.52,0.0001856300584649,0.1447421843280552,1966.05,0.09295501709,0.0999584820325599,0.790572519073582,17.04272226666667,8.727176736666667,42.81000072,6.226338546666667,4.02226916,24.262235200000003,2.8440244366666665,22.5543346,2.72148821,13.599205133333331,27.903457600000003,4.953731993333333,2.3733335033333334,7.1500000980000005
10/1991,0.7986181641000001,80.55,11723.2166666666,5.3,673.84,0.0002526640126608,0.1425745185966763,1973.59,0.09125881195,0.09914332910409347,0.8430182997523383,16.807717306451615,8.354209054838709,26.680645983870967,6.1068994483870975,3.2690197161290326,22.96934470967742,2.881461667741936,21.969361032258067,3.084764722580645,13.386247977419355,29.096394354838708,5.821878951612904,1.261290322580645,8.677419212903224
11/1991,0.7851779175,83.8,11723.2166666666,5.4,687.59,0.0003203964310504,0.1405144694533762,1980.62,0.0863299942,0.09882457732810686,0.8938955797370975,16.833138333333334,9.91982024,31.790000143333334,5.5953148,2.656543255333333,21.4647357,2.1803307233333333,20.9610701,3.22898142,23.180563600000003,25.10658276666667,3.09598225,12.38000023,5.196666803333333
12/1991,0.7509667969,77.7,11723.2166666666,5.4,630.38,0.000414521621588,0.1385542168674698,1988.4,0.09001903534,0.09771234603976003,0.9009716182380636,17.051064,8.730941587096774,17.870967869032256,5.507163461290323,2.661979967741936,21.51248893548387,2.4146292516129035,20.666001258064515,2.993716222580645,23.64024067741936,24.801503096774194,2.88945176,14.454838887096775,4.287096809677419
01/1992,0.7303181818,72.15,11821.5,5.4,645.18,0.0005181704190099,0.1370640713706407,1998.23,0.08424091339,0.08894928297253284,0.7950435957217117,17.15993535483871,9.70806365483871,16.474193525806452,5.691653545161291,3.510959322580645,22.502139677419358,2.837602303225806,19.037506,3.2791889258064515,20.907565032258063,24.79075,3.133124622580645,8.270967643225806,1.4645161480645164
02/1992,0.69298,70.9,11520.8,5.4,635.53,0.0006398953312843,0.1355911177273291,2006.63,0.07842999935,0.08463963676238981,0.7371170628044743,17.250758241379312,10.322293603448276,26.65517170344828,5.659179006896552,3.995295082758621,23.498243931034484,2.7570214620689657,22.88202093103448,4.380907717241379,17.33217296551724,25.417689620689654,3.6407884379310342,9.231034668965515,0.7103448117241379
